-15,0,0
-31,0,0
-46,0,-15
-31,-15,-15
-62,-15,15
-15,-15,15
-125,46,0
-46,93,-109
-31,125,-78
-62,-31,-15
-46,-15,0
-62,0,0
-31,15,0
-31,0,0
-46,15,15
-15,0,0
0,-15,0
0,0,0
0,-31,15
-31,46,78
-15,218,234
62,93,-46
0,93,-78
-46,-15,-31
-15,31,31
-15,62,31
-31,46,46
-15,31,15
-31,0,15
-31,15,31
-15,-15,15
-15,0,15
15,31,0
15,31,-15
0,46,0
15,31,15
31,-31,15
-31,15,15
-46,93,-62
0,93,-109
15,125,-62
-31,62,15
0,62,15
-15,31,0
-31,46,15
0,62,31
15,46,15
0,62,15
-15,15,15
0,15,15
-15,0,0
-31,-15,0
0,-31,31
-62,-15,0
-15,93,-78
15,31,-125
31,31,31
-15,0,15
-15,-15,-15
0,15,0
0,0,15
-15,-15,0
-15,0,-15
0,31,0
-15,0,-31
-15,-62,-62
-15,-31,-46
-15,-46,-46
15,-93,-15
-93,-125,-62
-62,0,-46
-15,-15,-156
-15,31,-171
-15,-62,-93
-31,-15,-31
-31,-46,-31
-31,-46,-46
-31,-46,-46
-31,-46,-46
-15,-31,-46
-31,-46,-46
-31,-46,-46
-15,-46,-31
-31,-46,-46
