-93,62 ,-78
31,125 ,-15
125,-15 ,109
15,31 ,-171
328,125 ,156
125,93 ,78
0,46 ,-46
31,78 ,-31
15,93 ,-31
-109,-31 ,-203
